,0,1,2,3,4,5,6,7,8,9
0,10,11,6,13,3,15,16,0,2,4
1,10,11,6,13,3,15,16,0,2,4
2,10,11,6,13,3,15,16,0,2,4
3,10,11,6,13,3,15,16,4,2,0
4,10,11,6,13,3,15,16,4,18,0
5,10,11,12,13,3,15,16,4,18,0
6,10,2,12,13,3,15,16,4,18,0
7,10,2,12,13,3,15,16,4,7,0
8,10,2,12,13,3,6,16,4,7,0
9,1,2,12,13,3,6,16,4,7,0
10,1,2,12,13,3,4,16,6,7,0
11,1,2,12,13,3,4,16,17,7,0
12,1,0,12,13,3,4,16,17,7,2
13,1,0,12,13,3,7,16,17,4,2
14,1,0,12,13,3,15,16,7,4,2
15,1,11,12,13,3,15,16,7,4,2
16,1,11,12,13,3,15,16,7,4,19
17,1,11,12,13,3,15,16,7,4,6
18,1,11,12,13,3,15,16,7,4,19
19,1,11,12,13,3,15,2,7,4,19
20,1,11,12,13,3,15,2,7,18,19
21,1,11,12,13,3,15,16,7,18,19
22,1,11,2,13,3,15,16,7,18,19
23,1,11,2,13,3,15,16,7,9,19
24,8,11,2,13,3,15,16,7,9,19
25,10,11,2,13,3,15,16,7,9,19
26,10,5,2,13,3,15,16,7,9,19
27,10,5,2,13,14,15,16,7,9,4
28,10,5,2,13,14,15,16,7,18,4
29,10,5,12,13,14,15,16,7,18,4
30,10,5,12,13,14,15,16,17,18,4
31,6,5,12,13,14,15,16,17,18,4
32,6,5,12,13,14,15,7,17,18,4
33,6,5,12,13,0,15,7,17,18,4
34,6,5,12,13,0,15,7,17,18,4
35,6,5,12,13,14,15,7,17,18,4
36,6,5,9,13,14,15,7,17,18,4
37,6,5,9,13,14,15,16,17,18,4
38,6,5,9,13,14,15,4,17,18,19
39,6,5,9,13,3,15,4,17,18,19
40,6,5,9,13,3,15,4,17,18,2
41,6,5,2,13,3,15,4,17,18,9
42,6,5,2,8,3,15,4,17,18,9
43,6,5,2,8,3,15,4,17,7,9
44,6,5,2,8,14,15,4,17,7,9
45,6,5,12,8,14,15,4,17,7,9
46,6,5,3,8,14,15,4,17,7,9
47,10,5,3,8,6,15,4,17,7,9
48,10,5,3,8,6,1,4,17,7,9
49,10,5,3,8,6,1,4,17,7,19
50,0,5,3,8,6,1,4,17,7,19
51,0,5,3,8,6,1,4,17,7,2
52,0,5,3,8,6,1,4,9,7,2
53,0,5,3,8,6,1,4,9,7,2
54,0,5,3,8,6,1,4,9,7,2
55,0,5,3,8,6,1,4,9,7,2
56,0,5,3,8,6,1,4,9,7,2
57,0,5,3,8,6,1,4,9,7,2
58,0,5,3,8,6,1,16,9,7,2
59,0,5,3,8,6,1,16,9,7,2
60,0,5,3,8,14,1,16,9,7,2
61,0,5,3,8,4,1,16,9,7,2
62,0,5,3,8,4,1,16,17,7,2
63,0,5,3,8,4,15,16,17,7,2
64,10,5,3,8,4,15,16,17,7,2
65,0,5,3,8,4,15,16,17,7,2
66,8,5,3,0,4,15,16,17,7,2
67,8,5,3,0,4,6,16,17,7,2
68,8,5,3,0,4,6,16,9,7,2
69,8,5,3,0,4,6,16,9,7,2
70,10,5,3,0,4,6,16,9,7,2
71,1,5,3,0,4,6,16,9,7,2
72,1,5,3,0,4,15,16,9,7,2
73,1,5,3,0,4,15,6,9,7,2
74,1,5,3,0,4,8,6,9,7,2
75,1,5,3,13,4,8,6,9,7,2
76,1,5,3,6,4,8,16,9,7,2
77,1,5,3,6,4,8,0,9,7,2
78,1,5,3,6,14,8,0,9,7,2
79,1,5,3,6,14,15,0,9,7,2
80,10,5,3,6,14,15,0,9,7,2
81,10,5,3,6,4,15,0,9,7,2
82,2,5,3,6,4,15,0,9,7,19
83,2,5,3,6,4,1,0,9,7,19
84,2,5,3,6,4,1,0,9,7,8
85,2,5,3,6,4,1,0,9,7,8
86,2,5,3,6,4,1,0,9,7,8
87,10,5,3,6,4,1,0,9,7,8
88,2,5,3,13,4,1,0,9,7,8
89,2,5,3,4,14,1,0,9,7,8
90,2,5,3,4,14,1,0,8,7,9
91,2,5,3,13,14,1,0,8,7,9
92,2,5,3,13,4,1,0,8,7,9
93,2,5,3,6,4,1,0,8,7,9
94,2,11,3,6,4,1,0,8,7,9
95,2,5,3,6,4,1,0,8,7,9
96,2,5,3,6,4,1,0,8,7,9
97,2,5,12,6,4,1,0,8,7,9
98,2,5,3,6,4,1,0,8,7,9
99,2,5,3,6,4,1,0,8,7,9
