,gamma,i,j,match
0,[0 1 0],0,0,False
1,[0 0 1],0,1,False
2,[0 0 0],0,2,False
3,[1 1 1],0,3,True
4,[1 0 0],0,4,False
5,[0 0 0],0,5,False
6,[0 0 0],0,6,False
7,[0 0 0],0,7,False
8,[0 1 0],0,8,False
9,[0 0 0],0,9,False
10,[0 0 0],1,0,False
11,[0 0 0],1,1,False
12,[1 0 0],1,2,False
13,[0 0 0],1,3,False
14,[0 0 0],1,4,False
15,[0 0 0],1,5,False
16,[0 1 0],1,6,False
17,[0 0 0],1,7,False
18,[0 1 0],1,8,True
19,[0 0 0],1,9,False
20,[0 0 0],2,0,False
21,[0 0 0],2,1,False
22,[0 0 0],2,2,False
23,[0 0 0],2,3,False
24,[0 0 0],2,4,False
25,[0 0 0],2,5,False
26,[1 1 1],2,6,True
27,[0 0 0],2,7,False
28,[0 0 0],2,8,False
29,[1 0 1],2,9,True
30,[0 0 0],3,0,False
31,[0 0 0],3,1,False
32,[1 1 0],3,2,True
33,[0 0 0],3,3,False
34,[0 0 0],3,4,False
35,[0 0 0],3,5,False
36,[1 1 0],3,6,True
37,[1 1 1],3,7,True
38,[0 0 0],3,8,False
39,[0 0 0],3,9,False
40,[0 0 0],4,0,False
41,[0 0 0],4,1,False
42,[0 0 1],4,2,False
43,[0 0 0],4,3,False
44,[0 1 0],4,4,False
45,[0 0 0],4,5,False
46,[0 0 1],4,6,False
47,[0 0 0],4,7,False
48,[1 1 0],4,8,True
49,[1 1 1],4,9,True
50,[0 0 0],5,0,False
51,[0 0 0],5,1,False
52,[0 0 1],5,2,False
53,[0 0 0],5,3,False
54,[1 1 1],5,4,True
55,[0 0 0],5,5,False
56,[0 0 0],5,6,False
57,[0 1 0],5,7,False
58,[0 0 0],5,8,False
59,[0 0 1],5,9,False
60,[0 0 0],6,0,False
61,[0 0 0],6,1,False
62,[0 0 0],6,2,False
63,[0 0 0],6,3,False
64,[0 0 0],6,4,False
65,[1 1 1],6,5,True
66,[1 0 0],6,6,False
67,[0 0 0],6,7,False
68,[1 1 1],6,8,True
69,[0 0 1],6,9,False
70,[1 1 1],7,0,True
71,[0 1 1],7,1,True
72,[0 0 0],7,2,False
73,[0 1 0],7,3,False
74,[0 0 0],7,4,False
75,[0 0 0],7,5,False
76,[0 0 0],7,6,False
77,[0 0 0],7,7,False
78,[0 0 0],7,8,False
79,[0 1 0],7,9,False
80,[1 1 1],8,0,True
81,[0 0 0],8,1,False
82,[0 0 0],8,2,False
83,[1 1 0],8,3,True
84,[0 0 0],8,4,False
85,[0 0 0],8,5,False
86,[0 1 1],8,6,True
87,[1 1 1],8,7,True
88,[0 0 0],8,8,False
89,[1 1 0],8,9,False
90,[1 0 1],9,0,True
91,[0 0 0],9,1,False
92,[0 1 0],9,2,False
93,[0 0 0],9,3,False
94,[1 0 0],9,4,False
95,[1 0 1],9,5,True
96,[0 0 0],9,6,False
97,[0 0 0],9,7,False
98,[0 0 0],9,8,False
99,[0 1 0],9,9,False
